Jenny Agutter,tt0848228,tt0074812,tt0082010,tt0099253
Alan Alda,tt0082405,tt0097123,tt0338751,tt0068098
Stephanie Zimbalist,tt0083470,tt3717214,tt0080402,tt0076993
Ginger Lynn,tt0087562,tt0395584,tt0134898,tt0210365
Joan Allen,tt3170832,tt0113987,tt0452608,tt0115988
Karen Allen,tt0082971,tt0367882,tt0077975,tt0088172
Nancy Allen,tt0107978,tt0100502,tt0080661,tt0093870
Kirstie Alley,tt0084726,tt0114852,tt0097778,tt0157503
Ursula Andress,tt0060177,tt0055928,tt0061452,tt0082186
Julie Andrews,tt0247638,tt0058331,tt0084865,tt0059742
Ann-Margret,tt0060646,tt0066892,tt0056891,tt0107050
Gabrielle Anwar,tt0114660,tt0105323,tt0108333,tt0810788
Anne Archer,tt0160009,tt0105112,tt0108122,tt0093010
Fanny Ardant,tt0283832,tt0401711,tt0086551,tt0127536
Alan Arkin,tt0449059,tt0099487,tt0104348,tt1024648
Rosanna Arquette,tt0190138,tt0088680,tt0089017,tt0110912
Sean Astin,tt0120737,tt0167260,tt0089218,tt0167261
Richard Attenborough,tt0057115,tt0107290,tt0110527,tt0083987
Pernilla August,tt0121765,tt0120915,tt0104350,tt1437366
Hank Azaria,tt0115685,tt0132347,tt1839481,tt0096697
Catherine Bach,tt0072288,tt1414382,tt0078607,tt0080213
Scott Baio,tt0270846,tt0281680,tt0070992,tt0367279
Scott Bairstow,tt0119925,tt0120512,tt0283084,tt0182587
Brenda Bakke,tt0107144,tt0119488,tt0114608,tt0114781
Adam Baldwin,tt0379786,tt0116629,tt0187393,tt0093058
Alec Baldwin,tt0104348,tt0318374,tt0407887,tt1230414
Stephen Baldwin,tt0115683,tt0114814,tt0486583,tt0158622
William Baldwin,tt0101393,tt0113010,tt0108162,tt0367089
Christian Bale,tt0468569,tt0372784,tt6266538,tt0144084
Ellen Barkin,tt0116277,tt0108330,tt0098273,tt0157503
Angela Bassett,tt0118884,tt0114558,tt1825683,tt2302755
Michelle Bauer,tt0103213,tt0094998,tt0097703,tt0181017
Sean Bean,tt0120737,tt0944947,tt1181791,tt0167261
Amanda Bearse,tt0092400,tt0247121,tt0089175,tt0338067
Kate Beckinsale,tt0452702,tt0320691,tt0338526,tt0401855
Robert Beltran,tt0113987,tt0101516,tt0112178,tt0087799
Tom Berenger,tt0091763,tt0097815,tt1375666,tt0085244
Candice Bergen,tt0901476,tt0094514,tt0212346,tt0256415
Michael Biehn,tt0088247,tt0117500,tt0090605,tt1077258
Juliette Binoche,tt1219827,tt2452254,tt0241303,tt0116209
Thora Birch,tt0107120,tt0105112,tt0162346,tt0169547
Jacqueline Bisset,tt0088322,tt0062765,tt0071877,tt0061452
Honor Blackman,tt0243155,tt0057197,tt0058150,tt0054518
Linda Blair,tt0070047,tt0082511,tt0088044,tt0079822
Mel Blanc,tt0045708,tt0096438,tt0094939,tt0077278
Brian Blessed,tt0107616,tt0080745,tt0120855,tt0120915
Helena Bonham Carter,tt0137523,tt0408236,tt1504320,tt1707386
Ernest Borgnine,tt0119177,tt0048356,tt0082340,tt0069113
Bruce Boxleitner,tt1104001,tt0871427,tt0105946,tt0084827
Annie Rosar,tt0041552,tt0034800,tt0034396,tt0036333
Amy Brenneman,tt0209069,tt0113277,tt0116287,tt0866437
Jeff Bridges,tt1263670,tt1403865,tt0118715,tt2582782
Charles Bronson,tt0054047,tt0057115,tt0064116,tt0071402
Louise Brooks,tt0020475,tt0021917,tt0017382,tt0018737
Mel Brooks,tt0395251,tt0082517,tt0071230,tt0094012
Clancy Brown,tt0120201,tt0111161,tt3501632,tt2279373
Yancy Butler,tt0274298,tt1650554,tt1250777,tt0107076
Gabriel Byrne,tt0146675,tt0145531,tt0100150,tt0114814
Emmanuelle Béart,tt0283832,tt0189142,tt0117060,tt0113947
Michael Caine,tt0258068,tt0468569,tt0124315,tt0482571
Barbara Carrera,tt0085862,tt0084112,tt0076210,tt0086006
David Caruso,tt0228750,tt0261983,tt0113451,tt0083944
Kim Cattrall,tt0159206,tt0102975,tt0090728,tt1261945
Lacey Chabert,tt0821640,tt0120738,tt0277371,tt0377092
Richard Chamberlain,tt0080274,tt0076299,tt0085101,tt0072308
Jackie Chan,tt0089374,tt0127357,tt0120812,tt0266915
Stockard Channing,tt0198021,tt0120791,tt0108149,tt0077631
Chevy Chase,tt0085995,tt0080487,tt0092086,tt0097958
Don Cheadle,tt0375679,tt0988047,tt0395169,tt1540133
Chow Yun-Fat,tt0190332,tt0120008,tt0473444,tt1098327
Glenn Close,tt0093010,,,
James Coburn,tt0054047,tt0056923,tt0067140,tt0057115
Rachael Leigh Cook,tt0208988,tt0160862,tt0331811,tt0385700
Cindy Crawford,tt0113010,tt0115082,tt0120577,tt1441109
James Cromwell,tt0144214,tt2245084,tt0119488,tt0120689
David Cronenberg,tt0115964,tt0094964,tt0091064,tt0120907
Denise Crosby,tt0104119,tt0098084,tt0097889,tt0120647
Billy Crystal,tt0113097,tt0122933,tt0101587,tt0098635
Macaulay Culkin,tt0104431,tt0107034,tt0102492,tt0099785
Tim Curry,tt0112715,tt0073629,tt0088930,tt0099810
Tony Curtis,tt0051036,tt0054331,tt0053291,tt0066701
Joan Cusack,tt1659337,tt0096463,tt0119229,tt0119360
Beverly D'Angelo,tt0085995,tt0120434,tt0120586,tt0097958
Donna D'Errico,tt12861508,tt2467372,tt4270458,tt7235466
Vincent D'Onofrio,tt0209958,tt0093058,tt0119654,tt0109707
Willem Dafoe,tt5649144,tt6938828,tt0145487,tt0870984
Anthony Daniels,tt0080684,tt0086190,tt0076759,tt2488496
Sybil Danning,tt0080421,tt0085672,tt0373883,tt0092546
Lolita Davidovich,tt0092513,tt0329717,tt0096943,tt0102138
Daniel Day-Lewis,tt0469494,tt0104691,tt0443272,tt5776858
Olivier De Funès,tt0250077,tt0064425,tt0065848,tt0060475
Rebecca De Mornay,tt0089941,tt0086200,tt0396269,tt0104389
Danny DeVito,tt0103776,tt0098621,tt0094142,tt0117008
Loren Dean,tt0120660,tt0098258,tt0112384,tt0186566
Sandra Dee,tt0053320,tt0052918,tt0056093,tt0052847
Julie Delpy,tt0381681,tt0111507,tt0112471,tt0841044
Catherine Deneuve,tt0061395,tt0059646,tt0283832,tt0168629
Gérard Depardieu,tt0099699,tt0120744,tt0103594,tt0099334
Laura Dern,tt0107290,tt2305051,tt0090756,tt7653254
Matt Dillon,tt0129387,tt0097240,tt4003440,tt0375679
Ami Dolenz,tt0108577,tt0092718,tt0056758,tt0104879
Amanda Donohoe,tt0110428,tt0119528,tt0095488,tt0090466
Michael Dorn,tt0117731,tt0102975,tt0253754,tt0120844
Brad Dourif,tt0167261,tt0099528,tt0087182,tt0073486
Robert Downey Jr.,tt0371746,tt0848228,tt0988045,tt1300854
Richard Dreyfuss,tt0069704,tt0076095,tt0075860,tt0073195
Minnie Driver,tt0117665,tt0119217,tt0293508,tt0119229
Kirsten Dunst,tt0110148,tt0145487,tt1527186,tt0110367
Robert Duvall,tt0118632,tt0068646,tt0316356,tt0078788
Anthony Edwards,tt0088000,tt0092099,tt0108757,tt0443706
Jennifer Ehle,tt2392830,tt0112130,tt1790885,tt4919484
Sam Elliott,tt1517451,tt0098206,tt5655222,tt0118715
Robert Englund,tt0329101,tt0093629,tt0095742,tt0087800
R. Lee Ermey,tt0093058,tt0114369,tt0324216,tt0095647
Emilio Estevez,tt0100994,tt3294746,tt0308055,tt1441912
Rupert Everett,tt0122541,tt0109592,tt0119738,tt2404639
Morgan Fairchild,tt0084652,tt1754944,tt0108778,tt0081858
Peter Falk,tt1466074,tt0074937,tt0281322,tt0093779
Chris Farley,tt0114694,tt0115697,tt0106598,tt0118708
Terry Farrell,tt0174378,tt0104409,tt0090685,tt0106145
Farrah Fawcett,tt0079285,tt0074812,tt0082136,tt0073972
Corey Feldman,tt0092005,tt0089218,tt0087363,tt0093437
Sally Field,tt0076729,tt0098384,tt0109830,tt0443272
Linda Fiorentino,tt0110308,tt0088680,tt0120655,tt0119654
Laurence Fishburne,tt0327056,tt1598778,tt0234215,tt0133093
Carrie Fisher,tt0076759,tt0080684,tt0086190,tt2527336
Bridget Fonda,tt0139414,tt0120324,tt0107843,tt0105414
Jane Fonda,tt3312830,tt0062711,tt0067309,tt0077362
Michelle Forbes,tt0844441,tt0107302,tt0116225,tt1951266
Vivica A. Fox,tt0118688,tt0266697,tt1628841,tt0116629
Jonathan Frakes,tt0117731,tt0120844,tt0253754,tt0111280
Brendan Fraser,tt0119190,tt0209163,tt0375679,tt0120616
Stephen Fry,tt0280707,tt0120514,tt0434409,tt0371724
Edward Furlong,tt0120586,tt0103064,tt0165710,tt0990407
Andy Garcia,tt0099674,tt0343996,tt0349903,tt0240772
Janeane Garofalo,tt0132347,tt0382932,tt0243655,tt0117979
Teri Garr,tt0084805,tt0072431,tt0075860,tt0088680
Jami Gertz,tt0088128,tt0117998,tt0320970,tt0093437
Crispin Glover,tt1729632,tt0310357,tt0088763,tt0091860
Danny Glover,tt0122151,tt0104714,tt0093409,tt1190080
Valeria Golino,tt0095953,tt0102059,tt8613070,tt0107144
Cuba Gooding Jr.,tt0116695,tt0101507,tt0114069,tt0316465
John Goodman,tt1024648,tt0101410,tt1179933,tt1907668
Serena Grandi,tt0089271,tt0089598,tt0104123,tt2358891
Hugh Grant,tt0109831,tt0276751,tt0314331,tt0125439
Jennifer Grey,tt2013293,tt0087985,tt0092890,tt0091042
Pam Grier,tt0094602,tt0116996,tt0119396,tt0228333
Melanie Griffith,tt0086984,tt0091983,tt0096463,tt0119558
Steve Guttenberg,tt0089822,tt0094137,tt0091949,tt0087928
Gene Hackman,tt0067116,tt0069113,tt0105695,tt0265666
Corey Haim,tt0091445,tt0093437,tt0095519,tt1121931
Mark Hamill,tt0076759,tt0080684,tt2527336,tt0086190
Daryl Hannah,tt0088161,tt0378194,tt0266697,tt0094291
Woody Harrelson,tt2356777,tt0110632,tt0117318,tt1156398
Ed Harris,tt0120382,tt0112384,tt0183659,tt0800308
Neil Patrick Harris,tt0120201,tt2267998,tt0460649,tt4834206
Nina Hartley,tt0126098,tt1282224,tt0118749,tt0189990
Noah Hathaway,tt0088323,tt0077215,tt0076984,tt0092115
Rutger Hauer,tt1640459,tt0401792,tt0083658,tt0091209
Goldie Hawn,tt0116313,tt0093693,tt0104070,tt0116242
Glenne Headly,tt0113862,tt2229499,tt0095031,tt0099422
Dan Hedaya,tt0086979,tt0112697,tt0114814,tt0166924
Mariel Hemingway,tt0208874,tt0079522,tt0159730,tt0094074
Marilu Henner,tt0077089,tt0087507,tt0102250,tt0105017
Lance Henriksen,tt0090605,tt0093605,tt0370263,tt0107076
Natasha Henstridge,tt0228333,tt0114508,tt0120841,tt0190138
Philip Seymour Hoffman,tt1560747,tt0292963,tt0472062,tt0379725
Gaby Hoffmann,tt0098554,tt0114011,tt0097351,tt0116242
Lauren Holly,tt0103512,tt0106770,tt0109686,tt0207201
Ian Holm,tt0167260,tt0088846,tt0120737,tt0120681
Dennis Hopper,tt0114898,tt0111257,tt0090756,tt0064276
Holly Hunter,tt0092699,tt5462602,tt0328538,tt0107822
John Hurt,tt0080678,tt1340800,tt0078748,tt0087803
William Hurt,tt0080360,tt0399146,tt0092699,tt0120738
Timothy Hutton,tt0081283,tt0343737,tt1103987,tt0115639
Jeremy Irons,tt2975590,tt2094766,tt0094964,tt0110357
Michael Ironside,tt0092099,tt0120201,tt0081455,tt0100802
Kate Jackson,tt0059978,tt0085088,tt0084293,tt0073972
Famke Janssen,tt0185371,tt0120903,tt0376994,tt0113189
Ron Jeremy,tt0120577,tt0124819,tt0165710,tt0144117
Don Johnson,tt8946378,tt0086759,tt0072730,tt1853728
Lynn-Holly Johnson,tt0077716,tt0082398,tt0088395,tt0081738
James Earl Jones,tt6105098,tt0094898,tt3748528,tt0099810
Jeffrey Jones,tt0086879,tt0091042,tt0091225,tt0109707
Raul Julia,tt0101272,tt0089424,tt0106220,tt0111301
Boris Karloff,tt0032258,tt0023245,tt0023194,tt0026138
Diane Keaton,tt0337741,tt0075686,tt0073312,tt0356680
Michael Keaton,tt2562232,tt0094721,tt4276820,tt1895587
Patsy Kensit,tt0079268,tt0097733,tt0090585,tt0068069
Sally Kirkland,tt7525642,tt0102138,tt3216866,tt0092569
Mia Kirshner,tt0330251,tt0387877,tt3520702,
Tawny Kitaen,tt0086927,tt0087903,tt2797190,tt0111999
Walter Koenig,tt0102975,tt0084726,tt0092007,tt0060028
Elias Koteas,tt0120863,tt0115964,tt0114194,tt0822854
Alice Krige,tt9086228,tt1981115,tt0117731,tt0384537
Sylvia Kristel,tt0081249,tt0077497,tt0078740,tt0071464
Christopher Lambert,tt0113855,tt0120604,tt0091203,tt0090095
Heather Langenkamp,tt0087800,tt13444912,tt0094490,tt0111686
Brandon Lee,tt0099978,tt0105219,tt0102915,tt0109506
Christopher Lee,tt0167261,tt0070917,tt0121765,tt0120737
John Leguizamo,tt0203009,tt0117509,tt0119887,tt0120177
Jennifer Jason Leigh,tt0109642,tt3460252,tt0105414,tt2401878
Jack Lemmon,tt0053291,tt0053604,tt0107050,tt0104348
Robert Sean Leonard,tt0412142,tt0106226,tt0097165,tt0108265
Téa Leoni,tt0371246,tt0163025,tt0120647,tt0218967
Juliette Lewis,tt0110632,tt1322269,tt0101540,tt0116367
Jennifer Lien,tt0112178,tt0120586,tt0133189,tt0106100
Matthew Lillard,tt0331632,tt0133189,tt1033575,tt0267913
Bai Ling,tt0405336,tt0119994,tt1121931,tt0109506
